Target ID,Iteration,EMP voltage [V],Glitch offset [ns],Glitch width [ns],xPos [mm],yPos [mm],zPos [mm],Peak Voltage Chip Shouter,Peak Voltage Probe,Peak Width,Area under pulse,Rawdata Filename
,0,150,0,100,66.0,154.9,20,108806.26,1017.61255,14,50900.2,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_0.csv' mode='w' encoding='utf-8'>"
,1,150,0,100,66.0,154.9,20,106066.53,990.2153,15,49342.47,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_1.csv' mode='w' encoding='utf-8'>"
,2,150,0,100,66.0,154.9,20,107240.7,1001.957,14,50013.7,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_2.csv' mode='w' encoding='utf-8'>"
,3,150,0,100,66.0,154.9,20,108023.484,1013.6986,15,50727.984,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_3.csv' mode='w' encoding='utf-8'>"
,4,150,0,100,66.0,154.9,20,108023.484,1009.7847,14,51230.92,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_4.csv' mode='w' encoding='utf-8'>"
,5,150,0,100,66.0,154.9,20,107240.7,994.12915,15,47688.85,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_5.csv' mode='w' encoding='utf-8'>"
,6,150,0,100,66.0,154.9,20,107240.7,986.3014,15,48962.82,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_6.csv' mode='w' encoding='utf-8'>"
,7,150,0,100,66.0,154.9,20,106066.53,982.38745,15,50454.01,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_7.csv' mode='w' encoding='utf-8'>"
,8,150,0,100,66.0,154.9,20,107632.09,998.043,14,49164.383,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_8.csv' mode='w' encoding='utf-8'>"
,9,150,0,100,66.0,154.9,20,107240.7,990.2153,16,50362.04,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_9.csv' mode='w' encoding='utf-8'>"
,0,150,0,100,66.0,154.9,22,109980.43,833.6595,14,44046.965,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_0.csv' mode='w' encoding='utf-8'>"
,1,150,0,100,66.0,154.9,22,108806.26,833.6595,14,41847.36,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_1.csv' mode='w' encoding='utf-8'>"
,2,150,0,100,66.0,154.9,22,107240.7,818.0039,14,40962.816,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_2.csv' mode='w' encoding='utf-8'>"
,3,150,0,100,66.0,154.9,22,107632.09,821.9178,16,43254.402,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_3.csv' mode='w' encoding='utf-8'>"
,4,150,0,100,66.0,154.9,22,108414.875,821.9178,14,39260.273,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_4.csv' mode='w' encoding='utf-8'>"
,5,150,0,100,66.0,154.9,22,109589.05,841.4873,13,43207.438,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_5.csv' mode='w' encoding='utf-8'>"
,6,150,0,100,66.0,154.9,22,109980.43,837.57336,14,43720.156,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_6.csv' mode='w' encoding='utf-8'>"
,7,150,0,100,66.0,154.9,22,108414.875,825.8317,15,43696.676,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_7.csv' mode='w' encoding='utf-8'>"
,8,150,0,100,66.0,154.9,22,106849.31,810.17615,15,41311.156,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_8.csv' mode='w' encoding='utf-8'>"
,9,150,0,100,66.0,154.9,22,107632.09,818.0039,14,40500.977,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_9.csv' mode='w' encoding='utf-8'>"
,0,150,0,100,66.0,154.9,24,109589.05,679.06067,13,29233.854,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_0.csv' mode='w' encoding='utf-8'>"
,1,150,0,100,66.0,154.9,24,110371.81,684.9315,13,29641.877,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_1.csv' mode='w' encoding='utf-8'>"
,2,150,0,100,66.0,154.9,24,106849.31,661.4481,14,29617.418,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_2.csv' mode='w' encoding='utf-8'>"
,3,150,0,100,66.0,154.9,24,108023.484,671.23285,13,29564.578,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_3.csv' mode='w' encoding='utf-8'>"
,4,150,0,100,66.0,154.9,24,109980.43,679.06067,13,29614.48,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_4.csv' mode='w' encoding='utf-8'>"
,5,150,0,100,66.0,154.9,24,107240.7,659.4912,13,29500.0,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_5.csv' mode='w' encoding='utf-8'>"
,6,150,0,100,66.0,154.9,24,109197.66,671.23285,14,29472.602,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_6.csv' mode='w' encoding='utf-8'>"
,7,150,0,100,66.0,154.9,24,109589.05,673.1898,14,29293.541,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_7.csv' mode='w' encoding='utf-8'>"
,8,150,0,100,66.0,154.9,24,110763.21,679.06067,13,29735.812,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_8.csv' mode='w' encoding='utf-8'>"
,9,150,0,100,66.0,154.9,24,109197.66,667.319,14,29094.914,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_9.csv' mode='w' encoding='utf-8'>"
,0,150,0,100,66.0,154.9,26,110371.81,559.6869,14,23962.82,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_0.csv' mode='w' encoding='utf-8'>"
,1,150,0,100,66.0,154.9,26,110763.21,561.64386,15,24258.318,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_1.csv' mode='w' encoding='utf-8'>"
,2,150,0,100,66.0,154.9,26,107632.09,544.0313,15,23810.178,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_2.csv' mode='w' encoding='utf-8'>"
,3,150,0,100,66.0,154.9,26,110763.21,563.60077,14,24195.697,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_3.csv' mode='w' encoding='utf-8'>"
,4,150,0,100,66.0,154.9,26,106849.31,540.11743,16,23832.682,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_4.csv' mode='w' encoding='utf-8'>"
,5,150,0,100,66.0,154.9,26,109589.05,555.773,14,23290.607,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_5.csv' mode='w' encoding='utf-8'>"
,6,150,0,100,66.0,154.9,26,109589.05,561.64386,14,24025.441,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_6.csv' mode='w' encoding='utf-8'>"
,7,150,0,100,66.0,154.9,26,110763.21,559.6869,14,24199.61,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_7.csv' mode='w' encoding='utf-8'>"
,8,150,0,100,66.0,154.9,26,110763.21,559.6869,14,24336.598,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_8.csv' mode='w' encoding='utf-8'>"
,9,150,0,100,66.0,154.9,26,111937.375,561.64386,14,23843.445,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_9.csv' mode='w' encoding='utf-8'>"
,0,150,0,100,66.0,154.9,28,110371.81,461.83954,14,19249.512,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_0.csv' mode='w' encoding='utf-8'>"
,1,150,0,100,66.0,154.9,28,106849.31,452.0548,14,19658.514,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_1.csv' mode='w' encoding='utf-8'>"
,2,150,0,100,66.0,154.9,28,109980.43,454.01175,15,19579.258,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_2.csv' mode='w' encoding='utf-8'>"
,3,150,0,100,66.0,154.9,28,110763.21,463.79648,14,19715.266,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_3.csv' mode='w' encoding='utf-8'>"
,4,150,0,100,66.0,154.9,28,107632.09,448.1409,15,19287.672,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_4.csv' mode='w' encoding='utf-8'>"
,5,150,0,100,66.0,154.9,28,110371.81,459.88257,14,19270.06,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_5.csv' mode='w' encoding='utf-8'>"
,6,150,0,100,66.0,154.9,28,110763.21,463.79648,13,19231.9,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_6.csv' mode='w' encoding='utf-8'>"
,7,150,0,100,66.0,154.9,28,108806.26,455.9687,13,18951.076,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_7.csv' mode='w' encoding='utf-8'>"
,8,150,0,100,66.0,154.9,28,109197.66,455.9687,14,19331.701,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_8.csv' mode='w' encoding='utf-8'>"
,9,150,0,100,66.0,154.9,28,110371.81,459.88257,14,19878.672,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_9.csv' mode='w' encoding='utf-8'>"
,0,150,0,100,66.0,154.9,30,109980.43,389.4325,14,17638.453,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,30_0.csv' mode='w' encoding='utf-8'>"
,1,150,0,100,66.0,154.9,30,108414.875,383.56165,14,17607.143,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,30_1.csv' mode='w' encoding='utf-8'>"
