Target ID,Iteration,EMP voltage [V],Glitch offset [ns],Glitch width [ns],xPos [mm],yPos [mm],zPos [mm],Peak Voltage Chip Shouter,Peak Voltage Probe,Peak Width,Area under pulse,Rawdata Filename
,3,200,20,80,54,138,12,173385.53,393.34637,113,65581.21,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_54,138,12_3.csv' mode='w' encoding='utf-8'>"
,4,200,20,80,54,138,12,171037.19,385.5186,115,65546.48,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_54,138,12_4.csv' mode='w' encoding='utf-8'>"
,5,200,20,80,54,138,12,171037.19,387.47552,114,65426.613,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_54,138,12_5.csv' mode='w' encoding='utf-8'>"
,6,200,20,80,54,138,12,172211.34,387.47552,116,65736.3,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_54,138,12_6.csv' mode='w' encoding='utf-8'>"
,7,200,20,80,54,138,12,171428.58,387.47552,114,64881.113,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_54,138,12_7.csv' mode='w' encoding='utf-8'>"
,8,200,20,80,54,138,12,167514.67,379.64774,114,64416.832,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_54,138,12_8.csv' mode='w' encoding='utf-8'>"
,9,200,20,80,54,138,12,173776.9,392.36792,115,65549.9,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_54,138,12_9.csv' mode='w' encoding='utf-8'>"
,0,200,20,80,55,138,12,172602.73,530.3327,115,88851.27,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_55,138,12_0.csv' mode='w' encoding='utf-8'>"
,1,200,20,80,55,138,12,170254.39,522.5049,113,88002.94,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_55,138,12_1.csv' mode='w' encoding='utf-8'>"
,2,200,20,80,55,138,12,170254.39,524.46185,112,88039.14,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_55,138,12_2.csv' mode='w' encoding='utf-8'>"
,3,200,20,80,55,138,12,172211.34,528.37573,113,88244.61,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_55,138,12_3.csv' mode='w' encoding='utf-8'>"
,4,200,20,80,55,138,12,168297.47,516.63403,114,87171.234,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_55,138,12_4.csv' mode='w' encoding='utf-8'>"
,5,200,20,80,55,138,12,174168.3,532.2896,114,89661.445,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_55,138,12_5.csv' mode='w' encoding='utf-8'>"
,6,200,20,80,55,138,12,171037.19,520.548,116,88488.25,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_55,138,12_6.csv' mode='w' encoding='utf-8'>"
,7,200,20,80,55,138,12,168688.84,516.63403,114,87787.68,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_55,138,12_7.csv' mode='w' encoding='utf-8'>"
,8,200,20,80,55,138,12,172994.12,530.3327,115,89456.945,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_55,138,12_8.csv' mode='w' encoding='utf-8'>"
,9,200,20,80,55,138,12,169863.0,520.548,112,87468.695,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_55,138,12_9.csv' mode='w' encoding='utf-8'>"
