Target ID,Iteration,EMP voltage [V],Glitch offset [ns],Glitch width [ns],xPos [mm],yPos [mm],zPos [mm],Peak Voltage Chip Shouter,Peak Voltage Probe,Peak Width,Area under pulse,Rawdata Filename
,0,150,0,100,66.0,154.9,22,123679.06,1334.638,92,147309.19,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_0.csv' mode='w' encoding='utf-8'>"
,1,150,0,100,66.0,154.9,22,120156.555,1291.5851,91,143037.19,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_1.csv' mode='w' encoding='utf-8'>"
,2,150,0,100,66.0,154.9,22,124853.234,1338.5519,92,148180.02,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_2.csv' mode='w' encoding='utf-8'>"
,3,150,0,100,66.0,154.9,22,121722.11,1311.1545,93,143839.53,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_3.csv' mode='w' encoding='utf-8'>"
,4,150,0,100,66.0,154.9,22,119373.78,1287.6713,90,142117.42,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_4.csv' mode='w' encoding='utf-8'>"
,5,150,0,100,66.0,154.9,22,124070.45,1334.638,93,150135.03,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_5.csv' mode='w' encoding='utf-8'>"
,6,150,0,100,66.0,154.9,22,122504.89,1315.0685,91,144761.25,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_6.csv' mode='w' encoding='utf-8'>"
,7,150,0,100,66.0,154.9,22,120547.95,1295.499,93,144755.38,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_7.csv' mode='w' encoding='utf-8'>"
,8,150,0,100,66.0,154.9,22,121722.11,1299.413,91,143600.77,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_8.csv' mode='w' encoding='utf-8'>"
,9,150,0,100,66.0,154.9,22,123287.67,1326.8102,91,146088.06,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,22_9.csv' mode='w' encoding='utf-8'>"
